date, pm25, pm10, o3, no2, so2, co
2013/12/31, -1, -1, 68, 33, 3, 7
2014/01/01, -1, 84, 90, 48, 5, 16
2014/01/02, -1, 84, 119, 63, 7, 14
2014/01/03, -1, 103, 95, 57, 7, 13
2014/01/04, -1, 101, 52, 34, 1, -1
2014/01/05, -1, 95, 69, 52, 6, 14
2014/01/06, -1, 78, 61, 46, 9, 11
2014/01/07, -1, 88, 64, 55, 8, 14
2014/01/08, -1, 79, 36, 47, 5, 11
2014/01/09, -1, 95, 38, 33, 2, 9
2014/01/10, -1, 67, 48, 33, 2, 11
2014/01/11, -1, 67, 49, 30, 3, 14
2014/01/12, -1, 64, 40, 24, 2, 6
2014/01/13, -1, 60, 44, 23, 1, 9
2014/01/14, -1, 54, 46, 28, 2, 7
2014/01/15, -1, 59, 49, 38, 3, 9
2014/01/16, -1, 65, 50, 43, 4, 14
2014/01/17, -1, 72, 44, 25, 1, 9
2014/01/18, -1, 65, 69, 23, 1, 10
2014/01/19, -1, 69, 68, 39, 5, 12
2014/01/20, -1, 81, 27, 37, 2, 11
2014/01/21, -1, 79, 62, 18, 5, 12
2014/01/22, -1, 80, 58, 45, 4, 15
2014/01/23, -1, 95, 79, 47, 8, 18
2014/01/24, -1, 92, 4, 72, 11, 27
2014/01/25, -1, 107, -1, -1, -1, -1
2014/01/26, -1, -1, 54, 53, 6, 18
2014/01/27, -1, 128, 57, 42, 4, 13
2014/01/28, -1, 94, 49, 52, 6, 14
2014/01/29, -1, 74, 43, 48, 6, 15
2014/01/30, -1, 81, 44, 31, 7, 12
2014/01/31, -1, 72, 48, 31, 6, 13
2014/02/01, -1, 64, 49, 29, 5, 9
2014/02/02, -1, 59, 66, 37, 7, 10
2014/02/03, -1, 59, 32, 21, 6, 9
2014/02/04, -1, 64, 32, 25, 3, 8
2014/02/05, -1, 55, 35, 26, 4, 8
2014/02/06, -1, 52, 23, 20, 2, 7
2014/02/07, -1, 45, 21, 17, 4, 7
2014/02/08, -1, 40, 42, 20, 3, 7
2014/02/09, -1, 37, 46, 33, 6, 9
2014/02/10, -1, 45, 21, 22, 4, 8
2014/02/11, -1, 55, 22, 20, 3, 7
2014/02/12, -1, 41, 20, 22, 4, 7
2014/02/13, -1, 44, 31, 22, 3, 7
2014/02/14, -1, 46, 17, 19, 2, 4
