date,Temperature (° C),Dew Point (° C),Humidity (%),Wind Speed (mph),Pressure (Hg),Precipitation (in)
1/1/2018,0.333333333,0.619834711,0.606382979,0.701570681,0.317241379,0
1/2/2018,0.384615385,0.595041322,0.617021277,0.722513089,0.413793103,0
1/3/2018,0.444444444,0.52892562,0.619148936,0.785340314,0.434482759,0
1/4/2018,0.538461538,0.487603306,0.64893617,0.743455497,0.475862069,0
1/5/2018,0.641025641,0.454545455,0.717021277,0.811518325,0.55862069,0
1/6/2018,0.581196581,0.371900826,0.589361702,0.921465969,0.55862069,0
1/7/2018,0.555555556,0.223140496,0.389361702,0.586387435,0.448275862,0
1/8/2018,0.547008547,0.231404959,0.380851064,0.842931937,0.386206897,0
1/9/2018,0.58974359,0.223140496,0.421276596,0.863874346,0.337931034,0
1/10/2018,0.264957265,0.256198347,0.074468085,0.643979058,0.179310345,0
1/11/2018,0.153846154,0.636363636,0.444680851,0.712041885,0.103448276,0
1/12/2018,0.085470085,0.892561983,0.663829787,0.706806283,0.04137931,0
1/13/2018,0,1,0.695744681,0.596858639,0.048275862,0
1/14/2018,0.11965812,0.876033058,0.655319149,0.57591623,0.151724138,0
1/15/2018,0.239316239,0.760330579,0.65106383,0.790575916,0.296551724,0
1/16/2018,0.384615385,0.628099174,0.665957447,0.884816754,0.413793103,0
1/17/2018,0.47008547,0.487603306,0.593617021,0.80104712,0.468965517,0
1/18/2018,0.538461538,0.512396694,0.674468085,0.790575916,0.462068966,0
1/19/2018,0.581196581,0.570247934,0.738297872,0.816753927,0.420689655,0
1/20/2018,0.52991453,0.578512397,0.757446809,0.738219895,0.462068966,0
1/21/2018,0.615384615,0.47107438,0.708510638,0.848167539,0.524137931,0
1/22/2018,0.615384615,0.347107438,0.585106383,0.937172775,0.565517241,0
1/23/2018,0.632478632,0.272727273,0.523404255,0.890052356,0.579310345,0
1/24/2018,0.52991453,0.20661157,0.342553191,0.853403141,0.613793103,0
1/25/2018,0.512820513,0.173553719,0.274468085,0.790575916,0.613793103,0
1/26/2018,0.564102564,0.190082645,0.357446809,0.806282723,0.593103448,0
1/27/2018,0.572649573,0.231404959,0.408510638,0.759162304,0.524137931,0
1/28/2018,0.598290598,0.214876033,0.419148936,0.743455497,0.524137931,0
1/29/2018,0.615384615,0.173553719,0.382978723,0.680628272,0.462068966,0
1/30/2018,0.606837607,0.140495868,0.346808511,0.54973822,0.462068966,0
1/31/2018,0.47008547,0.181818182,0.240425532,0.560209424,0.365517241,0
2/1/2018,0.452991453,0.347107438,0.421276596,0.465968586,0.310344828,0
2/2/2018,0.35042735,0.58677686,0.59787234,0.565445026,0.24137931,0
2/3/2018,0.273504274,0.727272727,0.672340426,0.670157068,0.117241379,0
2/4/2018,0.222222222,0.842975207,0.731914894,0.811518325,0.103448276,0
2/5/2018,0.230769231,0.842975207,0.734042553,0.832460733,0.020689655,0
2/6/2018,0.145299145,0.958677686,0.765957447,0.633507853,0.075862069,0
2/7/2018,0.239316239,0.884297521,0.774468085,0.80104712,0.213793103,0
2/8/2018,0.333333333,0.537190083,0.493617021,0.853403141,0.296551724,0
2/9/2018,0.376068376,0.421487603,0.4,0.806282723,0.344827586,0
2/10/2018,0.461538462,0.371900826,0.434042553,0.853403141,0.282758621,0
2/11/2018,0.495726496,0.272727273,0.370212766,0.963350785,0.24137931,0
2/12/2018,0.512820513,0.512396694,0.623404255,0.602094241,0.089655172,0
2/13/2018,0.393162393,0.719008264,0.75106383,0.717277487,0.020689655,0
2/14/2018,0.495726496,0.67768595,0.774468085,1,0.089655172,0
2/15/2018,0.555555556,0.454545455,0.612765957,0.853403141,0.227586207,0
2/16/2018,0.58974359,0.256198347,0.440425532,0.863874346,0.379310345,0
2/17/2018,0.615384615,0.214876033,0.414893617,0.806282723,0.482758621,0
2/18/2018,0.615384615,0.214876033,0.436170213,0.607329843,0.434482759,0
2/19/2018,0.512820513,0.165289256,0.282978723,0.764397906,0.406896552,0
2/20/2018,0.572649573,0.223140496,0.4,0.706806283,0.448275862,0
2/21/2018,0.641025641,0.247933884,0.5,0.654450262,0.517241379,0
2/22/2018,0.623931624,0.190082645,0.419148936,0.670157068,0.510344828,0
2/23/2018,0.444444444,0.305785124,0.361702128,0.769633508,0.331034483,0
2/24/2018,0.572649573,0.239669421,0.414893617,0.827225131,0.248275862,0
2/25/2018,0.58974359,0.272727273,0.470212766,0.811518325,0.344827586,0
2/26/2018,0.581196581,0.305785124,0.512765957,0.659685864,0.4,0
2/27/2018,0.341880342,0.256198347,0.174468085,0.732984293,0.372413793,0
2/28/2018,0.427350427,0.289256198,0.310638298,0.80104712,0.44137931,0
3/1/2018,0.606837607,0.181818182,0.376595745,0.753926702,0.524137931,0
3/2/2018,0.658119658,0.181818182,0.442553191,0.523560209,0.544827586,0
3/3/2018,0.675213675,0.165289256,0.440425532,0.523560209,0.6,0
3/4/2018,0.692307692,0.165289256,0.459574468,0.643979058,0.537931034,0
3/5/2018,0.700854701,0.140495868,0.427659574,0.659685864,0.524137931,0
3/6/2018,0.675213675,0.123966942,0.414893617,0.607329843,0.475862069,0
3/7/2018,0.52991453,0.181818182,0.306382979,0.612565445,0.462068966,0
3/8/2018,0.547008547,0.190082645,0.34893617,0.738219895,0.455172414,0
3/9/2018,0.273504274,0.388429752,0.282978723,0.732984293,0.303448276,0
3/10/2018,0.324786325,0.58677686,0.559574468,0.753926702,0.24137931,0
3/11/2018,0.504273504,0.578512397,0.706382979,0.863874346,0.282758621,0
3/12/2018,0.572649573,0.396694215,0.59787234,0.790575916,0.331034483,0
3/13/2018,0.641025641,0.223140496,0.465957447,0.670157068,0.4,0
3/14/2018,0.675213675,0.181818182,0.465957447,0.445026178,0.468965517,0
3/15/2018,0.700854701,0.239669421,0.540425532,0.460732984,0.475862069,0
3/16/2018,0.581196581,0.214876033,0.385106383,0.513089005,0.44137931,0
3/17/2018,0.641025641,0.231404959,0.470212766,0.581151832,0.434482759,0
3/18/2018,0.683760684,0.198347107,0.482978723,0.513089005,0.379310345,0
3/19/2018,0.735042735,0.148760331,0.480851064,0.528795812,0.455172414,0
3/20/2018,0.752136752,0.140495868,0.493617021,0.586387435,0.531034483,0
3/21/2018,0.615384615,0.173553719,0.393617021,0.513089005,0.496551724,0
3/22/2018,0.564102564,0.256198347,0.421276596,0.670157068,0.531034483,0
3/23/2018,0.666666667,0.338842975,0.608510638,0.623036649,0.455172414,0
3/24/2018,0.700854701,0.297520661,0.6,0.780104712,0.35862069,0
3/25/2018,0.683760684,0.20661157,0.504255319,0.670157068,0.289655172,0
3/26/2018,0.717948718,0.20661157,0.538297872,0.701570681,0.317241379,0
3/27/2018,0.555555556,0.190082645,0.346808511,0.696335079,0.386206897,0
3/28/2018,0.598290598,0.107438017,0.310638298,0.633507853,0.482758621,0
3/29/2018,0.666666667,0.123966942,0.393617021,0.481675393,0.496551724,0
3/30/2018,0.615384615,0.082644628,0.282978723,0.570680628,0.510344828,0
3/31/2018,0.564102564,0.132231405,0.285106383,0.706806283,0.496551724,0
4/1/2018,0.487179487,0.214876033,0.308510638,0.87434555,0.44137931,0
4/2/2018,0.521367521,0.165289256,0.274468085,0.816753927,0.44137931,0
4/3/2018,0.52991453,0.223140496,0.35106383,0.853403141,0.468965517,0
4/4/2018,0.666666667,0.107438017,0.378723404,0.64921466,0.565517241,0
4/5/2018,0.598290598,0.157024793,0.359574468,0.659685864,0.579310345,0
4/6/2018,0.623931624,0.20661157,0.427659574,0.806282723,0.551724138,0
4/7/2018,0.239316239,0.404958678,0.257446809,0.366492147,0.24137931,0
4/8/2018,0.239316239,0.785123967,0.695744681,0.539267016,0.131034483,0
4/9/2018,0.521367521,0.619834711,0.763829787,0.811518325,0.303448276,0
4/10/2018,0.709401709,0.438016529,0.734042553,0.90052356,0.44137931,0
4/11/2018,0.709401709,0.165289256,0.480851064,0.670157068,0.510344828,0
4/12/2018,0.769230769,0.140495868,0.504255319,0.523560209,0.551724138,0
4/13/2018,0.794871795,0.099173554,0.493617021,0.513089005,0.531034483,0
4/14/2018,0.794871795,0.074380165,0.459574468,0.481675393,0.586206897,0
4/15/2018,0.820512821,0.082644628,0.510638298,0.476439791,0.593103448,0
4/16/2018,0.760683761,0.190082645,0.563829787,0.633507853,0.489655172,0
4/17/2018,0.376068376,0.247933884,0.208510638,0.64921466,0.310344828,0
4/18/2018,0.512820513,0.272727273,0.389361702,0.77486911,0.372413793,0
4/19/2018,0.658119658,0.181818182,0.442553191,0.696335079,0.510344828,0
4/20/2018,0.717948718,0.107438017,0.421276596,0.617801047,0.544827586,0
4/21/2018,0.769230769,0.115702479,0.487234043,0.596858639,0.551724138,0
4/22/2018,0.811965812,0.123966942,0.536170213,0.518324607,0.55862069,0
4/23/2018,0.846153846,0.165289256,0.6,0.596858639,0.64137931,0
4/24/2018,0.837606838,0.107438017,0.538297872,0.465968586,0.634482759,0
4/25/2018,0.777777778,0.115702479,0.506382979,0.602094241,0.627586207,0
4/26/2018,0.581196581,0.115702479,0.289361702,0.659685864,0.531034483,0
4/27/2018,0.52991453,0.190082645,0.308510638,0.816753927,0.406896552,0
4/28/2018,0.256410256,0.20661157,0,0.732984293,0.324137931,0
4/29/2018,0.435897436,0.214876033,0.231914894,0.743455497,0.413793103,0
4/30/2018,0.384615385,0.140495868,0.082978723,0.691099476,0.420689655,0
5/1/2018,0.495726496,0.165289256,0.234042553,0.696335079,0.393103448,0
5/2/2018,0.547008547,0.148760331,0.285106383,0.753926702,0.4,0
5/3/2018,0.52991453,0.157024793,0.278723404,0.722513089,0.372413793,0
5/4/2018,0.547008547,0.132231405,0.268085106,0.80104712,0.427586207,0
5/5/2018,0.572649573,0.107438017,0.268085106,0.863874346,0.35862069,0
5/6/2018,0.564102564,0.041322314,0.178723404,0.738219895,0.393103448,0
5/7/2018,0.658119658,0.090909091,0.325531915,0.654450262,0.510344828,0
5/8/2018,0.683760684,0.082644628,0.353191489,0.785340314,0.606896552,0
5/9/2018,0.717948718,0,0.310638298,0.680628272,0.551724138,0
5/10/2018,0.752136752,0.049586777,0.391489362,0.570680628,0.482758621,0
5/11/2018,0.418803419,0.190082645,0.185106383,0.696335079,0.448275862,0
5/12/2018,0.495726496,0.132231405,0.206382979,0.863874346,0.475862069,0
5/13/2018,0.581196581,0.107438017,0.272340426,0.87434555,0.489655172,0
5/14/2018,0.512820513,0.173553719,0.278723404,0.821989529,0.475862069,0
5/15/2018,0.521367521,0.099173554,0.195744681,0.916230366,0.586206897,0
5/16/2018,0.752136752,0.123966942,0.463829787,0.821989529,0.655172414,0
5/17/2018,0.709401709,0.033057851,0.346808511,0.64921466,0.64137931,0
5/18/2018,0.606837607,0.082644628,0.289361702,0.732984293,0.64137931,0
5/19/2018,0.623931624,0.148760331,0.380851064,0.816753927,0.662068966,0
5/20/2018,0.641025641,0.074380165,0.3,0.764397906,0.662068966,0
5/21/2018,0.58974359,0.115702479,0.3,0.680628272,0.627586207,0
5/22/2018,0.52991453,0.165289256,0.282978723,0.727748691,0.524137931,0
5/23/2018,0.547008547,0.165289256,0.29787234,0.680628272,0.551724138,0
5/24/2018,0.547008547,0.190082645,0.344680851,0.554973822,0.531034483,0
5/25/2018,0.598290598,0.148760331,0.34893617,0.696335079,0.593103448,0
5/26/2018,0.504273504,0.115702479,0.20212766,0.743455497,0.537931034,0
5/27/2018,0.581196581,0.115702479,0.272340426,0.769633508,0.517241379,0
5/28/2018,0.623931624,0.107438017,0.331914894,0.97382199,0.524137931,0
5/29/2018,0.58974359,0.115702479,0.295744681,0.523560209,0.510344828,0
5/30/2018,0.581196581,0.074380165,0.242553191,0.602094241,0.531034483,0
5/31/2018,0.581196581,0.132231405,0.314893617,0.790575916,0.489655172,0
6/1/2018,0.675213675,0.190082645,0.487234043,0.759162304,0.510344828,0
6/2/2018,0.64957265,0.214876033,0.474468085,0.596858639,0.565517241,0
6/3/2018,0.743589744,0.198347107,0.557446809,0.481675393,0.710344828,0
6/4/2018,0.743589744,0.198347107,0.559574468,0.528795812,0.731034483,0
6/5/2018,0.752136752,0.198347107,0.576595745,0.623036649,0.655172414,0
6/6/2018,0.675213675,0.198347107,0.487234043,0.397905759,0.579310345,0
6/7/2018,0.632478632,0.198347107,0.463829787,0.439790576,0.620689655,0
6/8/2018,0.581196581,0.231404959,0.438297872,0.42408377,0.675862069,0
6/9/2018,0.547008547,0.165289256,0.319148936,0.691099476,0.696551724,0
6/10/2018,0.58974359,0.05785124,0.219148936,0.602094241,0.64137931,0
6/11/2018,0.692307692,0.115702479,0.423404255,0.376963351,0.627586207,0
6/12/2018,0.743589744,0.157024793,0.517021277,0.282722513,0.572413793,0
6/13/2018,0.726495726,0.165289256,0.519148936,0.403141361,0.64137931,0
6/14/2018,0.726495726,0.181818182,0.531914894,0.445026178,0.682758621,0
6/15/2018,0.623931624,0.132231405,0.35106383,0.481675393,0.717241379,0
6/16/2018,0.658119658,0.123966942,0.387234043,0.502617801,0.806896552,0
6/17/2018,0.666666667,0.297520661,0.59787234,0.104712042,0.889655172,0
6/18/2018,0.666666667,0.256198347,0.536170213,0.376963351,0.917241379,0
6/19/2018,0.717948718,0.198347107,0.531914894,0.445026178,0.793103448,0
6/20/2018,0.709401709,0.165289256,0.5,0.570680628,0.648275862,0
