date, pm25, pm10, o3, no2, so2, co
1/1/2018,0.5163043478,0.4536082474,0.6428571429,0.358974359,0,-1
1/2/2018,0.5652173913,0.587628866,0.5476190476,0.5384615385,0.0303030303,-1
1/3/2018,0.7065217391,0.6597938144,0.6666666667,0.5384615385,0.0303030303,-1
1/4/2018,0.722826087,0.7319587629,0.8571428571,0.6923076923,0.0303030303,-1
1/5/2018,0.7934782609,0.6907216495,0.6904761905,0.641025641,0.04545454545,-1
1/6/2018,0.7445652174,0.3092783505,0.3571428571,0.2820512821,0,-1
1/7/2018,0.3858695652,0.2886597938,0.2619047619,0.3076923077,0.06060606061,-1
1/8/2018,0.3369565217,0.3608247423,0.3571428571,0.4102564103,0.0303030303,-1
1/9/2018,0.3967391304,0.2474226804,0.2380952381,0.358974359,0.0303030303,-1
1/10/2018,0.3641304348,0.6082474227,0.3095238095,0.5128205128,0,-1
1/11/2018,0.5869565217,0.618556701,0.4523809524,0.5128205128,0.0303030303,-1
1/12/2018,0.6684782609,0.6804123711,0.5,0.5897435897,0.0303030303,-1
1/13/2018,0.7445652174,0.6804123711,0.5714285714,0.5384615385,0.0303030303,-1
1/14/2018,0.7336956522,0.7835051546,0.5476190476,0.6153846154,0.0303030303,-1
1/15/2018,0.8369565217,0.8556701031,0.7142857143,0.8205128205,0.04545454545,-1
1/16/2018,0.875,1,0.8571428571,0.8717948718,0.06060606061,-1
1/17/2018,0.9510869565,0.8144329897,0.619047619,0.6923076923,0.04545454545,-1
1/18/2018,0.8097826087,0.8041237113,0.5714285714,0.6923076923,0.04545454545,-1
1/19/2018,0.7663043478,0.7731958763,0.5238095238,0.6153846154,0.04545454545,-1
1/20/2018,0.7826086957,0.9278350515,0.6428571429,0.8717948718,0.04545454545,-1
1/21/2018,0.9130434783,0.9690721649,0.5714285714,0.8461538462,0.04545454545,-1
1/22/2018,1,0.824742268,0.4761904762,0.7435897436,0.04545454545,-1
1/23/2018,0.9076086957,0.7835051546,0.3095238095,0.641025641,0.0303030303,-1
1/24/2018,0.9402173913,0.5154639175,0.2380952381,0.4102564103,0.04545454545,-1
1/25/2018,0.5543478261,0.3505154639,0.2857142857,0.3333333333,0.0303030303,-1
1/26/2018,0.4184782609,0.2989690722,0.2142857143,0.2820512821,0.0303030303,-1
1/27/2018,0.402173913,0.3092783505,0.1904761905,0.2564102564,0.0303030303,-1
1/28/2018,0.3858695652,0.3402061856,0.2619047619,0.2820512821,0.0303030303,-1
1/29/2018,0.4130434783,0.3298969072,0.2857142857,0.2820512821,0.0303030303,-1
1/30/2018,0.4239130435,0.3298969072,0.2142857143,0.3076923077,0,-1
1/31/2018,0.4510869565,0.5463917526,0.5952380952,0.358974359,0,-1
2/1/2018,0.625,0.6701030928,0.5714285714,0.4358974359,0.0303030303,-1
2/2/2018,0.8097826087,0.7319587629,0.4285714286,0.4871794872,0.0303030303,-1
