Time,Temperature (° C),Dew Point (° C),Humidity (%),Wind Speed (mph),Pressure (Hg),Precipitation (in)
1,30,23.8,70.6,6.3,1011.2,0
2,30.2,23.8,69.9,6.7,1010,0
3,30.3,23.5,68.3,6.5,1010.3,0
4,30.6,23.7,67.9,8.1,1010.4,0
5,30.4,23.4,66.8,7.8,1009.3,0
6,30.1,23,66.8,7.7,1009.1,0
7,30.3,23.8,68.6,8.2,1009.4,0
8,26,24.3,91.1,11.2,1011.7,0
9,27.1,24.6,86.9,9.4,1011.5,0
10,27.7,22.5,73.7,8.5,1011.1,0
11,28.6,23.1,72.7,8,1011.2,0
12,27.8,23.4,77.6,11.3,1012.5,0
13,27,20.4,67.5,10.5,1014.1,0
14,26.6,19.5,65.2,11,1014.4,0
15,27,19.5,64,13.3,1014.2,0
16,28.6,20.3,60.8,13.7,1014.2,0
17,27.8,20.3,63.9,12.5,1014.1,0
18,27.6,20.4,65.8,11,1013.6,0
19,28.6,20.6,63,8.4,1013.6,0
20,29.4,22.4,67.3,5.6,1012.3,0
21,30,23.3,68.7,5.2,1010.6,0
22,30.6,24.5,70.9,7.9,1010.3,0
23,30.1,23,66.3,11.7,1010.1,0
24,29.4,21.5,63.5,9,1010.4,0
25,28.8,20.4,62.3,8,1009.9,0
26,28.3,19.3,59.5,9.1,1009.3,0
27,28.2,19.3,59.7,8.9,1008.6,0
28,28.7,21.3,65.1,10,1008.9,0
29,26.8,23.7,84.3,9.2,1012,0
30,26,22.1,80,10,1014.1,0
31,26,19.8,69.2,9,1015.6,0
